Secteur,Taille_Entreprise,Anciennete_Annees,Ratio_Liquidite_Generale,Ratio_Liquidite_Reduite,Ratio_Endettement,Ratio_Capacite_Remboursement,Taux_Endettement_Net,ROE,ROA,Marge_Nette,Marge_Brute,Chiffre_Affaires_Log,Croissance_CA,Ratio_Fonds_Propres,Ratio_Tresorerie_Nette,Delai_Paiement_Clients_Jours,Delai_Paiement_Fournisseurs_Jours,Ratio_Couverture_Interets,Score_Altman_Z,Nb_Incidents_Paiement_12M,Nb_Credits_En_Cours,Defaut_Paiement
BTP,PME,3,2.04,0.57,0.25,3.25,0.53,-0.236,0.155,0.34,0.425,18.0,0.488,0.18,0.55,67,67,4.47,4.58,2,3,0
BTP,TPE,24,3.38,0.59,1.4,7.18,0.61,-0.228,0.244,0.213,0.645,18.34,0.469,0.24,0.7,64,86,4.76,0.51,0,2,1
Transport,ETI,37,0.54,1.16,1.87,4.65,0.59,0.173,0.187,0.392,0.163,13.04,-0.043,0.71,0.58,22,84,13.55,1.7,1,4,1
BTP,PME,16,1.47,1.94,1.19,4.09,0.29,0.179,0.272,0.26,0.545,14.69,0.491,0.38,0.55,106,18,6.08,4.1,0,2,0
Transport,PME,4,1.02,2.27,0.34,9.86,0.09,0.035,-0.126,0.365,0.293,18.74,0.194,0.26,0.94,111,31,12.19,0.54,0,1,1
BTP,ETI,24,0.93,0.39,1.21,9.94,0.89,0.045,-0.145,-0.07,0.306,10.53,0.406,0.49,0.39,76,48,19.32,0.55,1,1,1
Agriculture,ETI,34,0.75,1.1,1.56,12.46,1.48,-0.257,0.148,0.263,0.546,18.89,0.027,0.16,0.45,103,20,15.97,3.25,0,4,1
Transport,TPE,30,2.29,0.43,0.87,6.56,0.25,0.113,-0.02,-0.188,0.4,12.19,-0.287,0.24,0.77,99,50,6.99,4.05,2,0,1
Services,PME,18,2.8,0.24,1.77,1.56,0.07,0.104,-0.036,0.202,0.659,16.79,0.034,0.46,0.5,90,53,9.71,3.99,0,5,1
Tech,TPE,19,2.15,1.72,1.33,4.47,1.17,-0.18,-0.001,0.082,0.167,15.83,0.057,0.23,0.6,104,80,4.41,4.01,0,7,1
Industrie,ETI,31,0.77,1.59,1.81,14.71,0.38,-0.217,-0.029,0.008,0.642,15.53,0.151,0.56,-0.15,43,22,0.81,2.12,0,7,1
BTP,TPE,19,2.9,0.57,1.28,9.15,1.24,-0.201,0.08,0.317,0.098,18.59,-0.294,0.42,0.06,116,29,6.15,4.47,0,1,0
Commerce,PME,49,2.34,0.74,0.35,10.79,1.06,-0.219,0.048,0.313,0.196,11.02,0.591,0.63,-0.28,113,77,7.7,0.56,5,7,0
BTP,ETI,46,1.54,0.25,0.69,0.61,1.42,0.188,0.081,-0.187,0.542,13.47,-0.156,0.76,0.26,115,79,11.51,1.9,0,1,0
Commerce,ETI,19,2.46,2.12,0.48,8.01,0.61,-0.143,0.153,0.166,0.691,15.38,-0.201,0.14,0.18,58,73,18.91,2.02,0,2,0
Tech,PME,22,1.13,2.44,1.83,1.04,0.99,-0.099,0.024,0.021,0.24,18.11,0.127,0.3,1.0,59,24,18.98,1.25,0,2,1
Tech,ETI,24,1.4,0.51,1.54,8.75,0.7,-0.161,-0.037,0.049,0.295,12.16,0.137,0.29,0.42,43,21,1.87,2.01,5,2,1
Tech,TPE,45,3.24,0.73,1.39,13.85,0.95,0.466,-0.075,0.299,0.453,18.03,0.04,0.16,0.68,102,88,12.49,3.14,3,3,1
Commerce,ETI,12,1.23,2.2,0.67,14.54,0.67,0.384,0.007,-0.014,0.209,14.0,0.372,0.66,0.0,73,26,1.33,2.84,1,6,0
BTP,TPE,30,1.8,2.33,0.45,8.34,0.28,-0.116,0.184,0.366,0.658,11.89,0.117,0.62,0.75,29,60,13.14,1.94,0,4,0
Tech,PME,38,3.15,1.17,1.54,7.14,0.76,-0.038,0.191,-0.092,0.63,17.59,0.21,0.41,0.42,84,46,2.8,3.87,0,0,1
Agriculture,ETI,31,2.56,0.32,1.0,14.2,0.79,-0.132,0.15,0.198,0.159,10.91,0.324,0.45,0.55,110,46,18.95,3.72,3,2,0
Transport,TPE,36,0.5,0.29,0.53,10.27,1.22,0.094,-0.045,0.203,0.398,15.15,-0.375,0.09,-0.06,58,75,17.35,1.76,0,0,1
Commerce,TPE,19,0.77,1.52,1.27,1.44,1.1,-0.284,0.115,-0.049,0.631,10.64,0.171,0.47,0.32,112,83,0.94,1.95,0,6,1
Commerce,ETI,48,0.33,1.1,0.18,7.25,1.0,0.237,0.107,-0.005,0.303,13.56,0.484,0.64,0.45,50,75,15.75,1.79,5,2,1
BTP,ETI,45,2.32,0.27,0.72,3.98,0.17,0.119,0.068,0.301,0.525,16.01,-0.383,0.48,0.38,98,60,12.9,1.08,1,1,0
Commerce,PME,36,1.73,1.54,0.99,7.31,1.08,0.419,0.097,0.257,0.088,15.56,0.005,0.25,0.87,71,82,10.16,3.89,0,6,0
Commerce,PME,30,0.73,0.23,0.38,7.1,0.75,-0.168,0.071,-0.003,0.507,14.05,0.526,0.55,0.85,78,69,12.25,0.71,0,0,1
Tech,PME,49,3.37,2.01,1.97,8.94,1.34,0.343,0.104,0.12,0.164,14.29,-0.047,0.32,0.96,90,15,13.73,1.18,3,3,0
BTP,TPE,33,1.99,0.9,0.5,5.67,1.38,0.334,0.172,-0.163,0.673,12.27,0.059,0.46,0.5,113,81,17.75,0.97,0,2,1
Tech,PME,18,1.07,0.29,0.35,2.88,0.08,-0.198,-0.101,-0.075,0.317,14.56,0.582,0.42,0.96,52,63,15.46,4.21,1,5,1
Transport,TPE,49,1.9,1.55,0.49,7.8,1.23,0.019,0.187,0.091,0.261,19.53,-0.201,0.34,0.75,31,39,11.72,0.7,0,4,0
Transport,Grande Entreprise,28,2.47,1.11,1.56,12.54,0.06,-0.164,-0.089,-0.148,0.681,18.5,-0.335,0.59,-0.09,41,30,16.58,3.49,1,1,1
Tech,PME,47,0.54,2.44,0.91,10.13,0.55,-0.096,-0.12,0.306,0.088,11.45,0.459,0.71,0.14,31,27,19.74,0.7,2,6,1
Transport,PME,11,1.18,1.45,1.17,5.41,0.81,-0.089,0.289,0.231,0.347,10.3,0.468,0.05,-0.14,77,66,6.35,4.04,2,6,0
BTP,PME,45,2.88,0.83,0.14,14.07,0.22,0.145,0.281,0.366,0.328,19.34,0.072,0.75,-0.49,25,50,2.81,4.61,0,2,0
Industrie,Grande Entreprise,33,1.77,1.83,0.17,13.73,1.12,0.029,-0.123,0.216,0.264,15.27,0.114,0.43,-0.22,78,86,14.76,2.69,3,6,1
Tech,TPE,17,2.05,0.82,0.95,3.54,0.01,0.458,0.049,0.364,0.734,15.38,0.436,0.58,-0.49,53,58,19.58,4.12,5,0,0
Agriculture,PME,6,1.69,2.28,1.65,1.07,0.25,-0.199,-0.066,0.133,0.613,17.81,0.339,0.69,0.58,16,61,2.78,3.68,1,7,0
Agriculture,PME,4,0.44,1.06,1.78,11.25,0.87,0.479,0.068,0.16,0.098,13.15,-0.135,0.4,0.14,80,34,8.92,4.08,1,2,1
Commerce,PME,20,0.83,1.46,0.26,12.5,1.07,-0.115,0.224,0.386,0.586,14.82,-0.383,0.68,-0.03,68,32,1.71,3.95,0,1,0
Transport,TPE,48,1.73,0.32,1.12,14.53,1.37,0.318,0.278,0.185,0.445,19.69,0.08,0.18,0.64,43,68,15.64,1.42,0,4,0
Agriculture,ETI,47,0.97,1.18,1.84,13.4,1.06,-0.029,0.135,-0.182,0.726,16.72,0.459,0.17,0.75,59,26,19.0,2.75,1,4,1
Commerce,Grande Entreprise,27,0.46,2.11,0.84,9.21,1.01,-0.186,0.009,0.234,0.285,11.54,0.496,0.54,0.96,102,39,10.23,4.82,1,4,0
Industrie,PME,15,3.0,2.05,1.68,8.19,0.59,0.386,0.121,0.343,0.481,11.33,0.556,0.7,0.46,102,74,8.49,2.05,1,5,0
BTP,PME,6,3.44,0.72,0.35,0.9,0.0,-0.053,-0.01,0.277,0.426,12.04,0.48,0.72,0.19,94,89,18.2,4.87,0,7,0
BTP,Grande Entreprise,47,2.84,0.72,1.88,4.08,0.18,0.227,0.259,0.15,0.417,17.67,0.18,0.53,-0.04,45,48,3.1,3.12,0,1,0
BTP,ETI,14,3.03,2.08,1.53,7.16,0.8,0.153,0.242,0.203,0.392,12.95,0.045,0.44,-0.17,63,27,17.89,2.58,1,5,0
Agriculture,TPE,11,1.07,2.34,1.89,9.61,1.01,0.077,0.101,0.394,0.204,10.21,0.375,0.3,-0.18,23,52,8.15,3.46,0,5,0
Industrie,PME,39,3.37,0.42,1.39,8.58,0.63,0.097,-0.004,-0.146,0.617,19.44,0.34,0.79,0.11,41,26,11.41,4.17,3,6,1
Agriculture,PME,9,0.93,1.24,0.79,11.27,1.1,0.286,-0.018,0.2,0.389,11.7,0.138,0.29,0.99,70,50,10.8,2.27,0,2,0
Transport,PME,26,3.34,0.98,1.88,4.56,0.78,-0.23,-0.135,-0.03,0.769,10.1,-0.313,0.61,-0.5,119,42,12.51,0.65,5,1,1
Agriculture,ETI,16,3.48,2.2,0.62,8.69,0.11,0.235,0.217,0.184,0.246,12.37,0.526,0.45,-0.2,92,53,18.87,3.69,0,1,0
Industrie,Grande Entreprise,5,2.58,0.39,0.73,1.78,0.29,0.417,0.053,0.165,0.562,12.35,0.056,0.51,-0.22,59,57,19.05,4.8,1,6,0
Industrie,Grande Entreprise,10,3.44,0.69,1.43,6.5,1.26,-0.254,-0.004,-0.108,0.756,14.22,-0.037,0.35,0.58,103,45,16.71,3.31,1,2,1
Transport,PME,3,2.12,1.93,1.55,11.38,1.09,-0.187,0.062,-0.076,0.548,19.2,0.23,0.77,0.03,57,16,4.24,1.35,0,3,1
Industrie,TPE,13,1.13,0.32,1.87,10.55,1.34,0.273,0.218,0.173,0.703,18.79,0.274,0.48,0.19,36,56,7.0,1.62,0,5,1
Industrie,Grande Entreprise,43,1.7,1.33,0.49,14.86,0.18,0.05,-0.094,-0.123,0.671,14.57,-0.189,0.75,-0.28,113,45,10.01,4.59,0,4,0
BTP,ETI,49,2.2,1.22,1.62,4.53,1.49,0.023,0.236,-0.041,0.32,14.11,0.437,0.06,0.11,47,75,18.16,0.56,3,7,1
Transport,TPE,30,0.53,0.97,1.5,7.72,0.31,-0.19,0.254,0.301,0.5,15.55,-0.11,0.48,-0.35,41,70,10.66,2.97,3,0,1
Services,Grande Entreprise,45,2.29,1.11,0.22,5.28,0.02,0.105,0.276,-0.004,0.167,12.43,-0.213,0.59,0.3,54,28,19.56,1.21,1,7,0
Services,ETI,6,3.44,1.42,0.84,6.89,1.5,-0.199,0.029,0.093,0.452,10.52,0.006,0.61,-0.35,40,28,19.68,1.77,3,5,0
Industrie,PME,17,0.91,0.57,0.64,12.93,0.42,0.081,-0.052,0.365,0.223,19.39,0.331,0.73,0.69,97,43,12.17,1.88,0,0,0
Services,PME,45,2.84,1.52,0.68,10.42,1.0,0.311,0.018,-0.064,0.608,11.87,0.565,0.05,0.35,59,64,17.61,1.49,5,2,1
Services,PME,19,3.21,2.05,1.97,13.3,0.27,-0.093,-0.0,0.034,0.446,11.98,0.409,0.05,0.59,117,64,19.98,4.07,2,7,1
Industrie,TPE,42,3.32,1.95,1.32,3.45,0.87,0.085,-0.071,0.164,0.358,14.72,0.54,0.4,0.13,59,77,17.07,1.99,5,0,1
Services,PME,35,3.37,0.55,1.46,13.16,1.36,0.494,0.123,0.253,0.252,14.92,-0.259,0.07,0.07,40,87,13.31,2.05,5,3,0
Agriculture,ETI,46,1.97,0.54,1.96,1.37,0.48,0.249,0.064,0.341,0.799,10.18,-0.329,0.78,-0.35,84,79,16.98,2.54,5,1,0
Commerce,TPE,26,3.43,0.82,0.82,13.38,1.01,0.373,0.24,0.349,0.104,11.48,0.158,0.22,0.29,81,82,2.11,4.56,0,4,0
Transport,PME,5,2.72,1.03,1.62,5.27,0.28,0.032,-0.136,0.266,0.083,13.78,-0.11,0.4,0.27,20,85,12.88,3.6,0,0,1
Commerce,PME,29,0.82,1.14,0.93,5.06,0.94,0.314,0.14,-0.063,0.213,16.84,0.428,0.1,0.2,42,25,4.72,0.78,2,0,1
Industrie,PME,37,1.83,1.76,1.75,7.93,0.5,-0.268,0.193,-0.185,0.778,12.28,0.272,0.44,0.61,81,28,2.76,0.68,2,7,1
BTP,Grande Entreprise,20,2.6,0.33,0.44,14.14,0.32,-0.202,0.192,0.03,0.784,14.23,0.571,0.33,0.75,27,17,17.91,3.05,5,2,0
Transport,PME,49,1.09,0.28,1.9,1.19,0.47,-0.138,0.249,-0.115,0.541,15.57,-0.145,0.08,0.63,77,22,12.97,4.49,2,2,1
Industrie,PME,21,2.35,1.1,0.52,5.61,0.27,0.022,0.178,0.226,0.71,18.89,0.086,0.3,-0.28,27,57,5.25,1.95,1,6,0
BTP,ETI,10,2.43,1.8,0.72,12.92,1.35,0.377,0.268,0.197,0.21,13.26,0.101,0.34,0.43,91,23,8.04,1.61,0,1,0
Commerce,PME,5,0.82,0.64,1.54,6.24,0.6,-0.023,-0.0,-0.174,0.779,11.34,-0.161,0.79,-0.38,15,33,19.48,3.87,0,4,0
Industrie,TPE,36,2.11,1.68,0.85,3.39,0.37,0.224,0.076,0.302,0.157,14.89,0.19,0.21,0.54,54,26,17.31,3.21,3,6,0
Transport,PME,6,2.77,0.8,1.26,6.66,0.67,0.267,-0.144,-0.051,0.126,17.47,0.043,0.46,0.07,51,41,0.8,3.04,0,6,1
Transport,TPE,26,1.9,2.24,0.94,6.09,0.48,0.169,-0.147,0.059,0.134,11.1,0.047,0.79,-0.3,45,72,19.61,1.17,1,0,0
Tech,TPE,4,0.34,2.26,1.51,13.77,1.12,-0.014,-0.042,0.201,0.48,14.25,-0.037,0.64,0.79,31,39,7.69,1.29,0,1,1
Agriculture,PME,39,0.33,0.88,0.53,11.55,1.46,0.162,-0.105,0.058,0.636,10.18,-0.383,0.8,0.42,23,59,14.06,1.77,0,7,1
Services,PME,39,1.44,0.73,0.21,7.82,0.66,-0.026,-0.033,0.065,0.325,10.34,0.122,0.78,0.03,78,62,14.4,1.43,0,7,0
BTP,Grande Entreprise,35,3.26,1.15,0.67,14.83,1.29,-0.233,-0.07,-0.161,0.783,14.83,-0.065,0.42,-0.45,71,64,18.28,4.87,1,7,0
Tech,PME,1,1.03,0.75,1.0,7.25,0.85,0.494,-0.137,0.041,0.376,12.98,-0.399,0.57,0.31,27,58,17.76,0.58,0,4,1
Services,PME,24,2.33,1.75,0.42,1.34,0.24,-0.198,0.259,0.259,0.163,18.45,-0.092,0.13,0.88,51,73,5.99,3.32,0,1,0
Services,PME,36,1.01,2.1,0.77,4.3,1.04,-0.242,-0.146,0.349,0.399,16.02,-0.121,0.38,0.39,28,47,13.05,2.83,0,0,0
Industrie,TPE,6,1.33,1.75,0.86,6.82,0.77,0.403,0.181,0.048,0.559,14.54,-0.007,0.66,0.96,89,42,8.18,1.95,0,7,0
Services,PME,41,3.01,2.1,0.21,2.78,0.98,-0.059,-0.082,0.054,0.674,14.08,-0.268,0.43,-0.3,39,32,10.75,4.49,5,2,1
Agriculture,TPE,46,2.63,1.11,1.21,14.24,1.33,0.22,0.261,0.222,0.394,14.97,0.108,0.58,0.35,109,69,11.32,3.52,5,2,0
Transport,Grande Entreprise,44,0.61,0.56,1.78,11.62,0.66,-0.037,0.252,0.366,0.495,10.4,0.292,0.61,0.7,92,47,8.23,4.99,0,2,1
Tech,TPE,31,1.67,1.9,0.39,4.39,1.35,0.013,0.144,-0.04,0.251,18.93,0.23,0.24,0.29,71,29,9.55,1.26,1,3,0
Services,PME,20,0.39,1.03,1.24,9.07,1.13,-0.09,0.153,0.064,0.534,19.98,0.404,0.71,-0.36,85,75,4.56,0.9,2,1,1
Industrie,TPE,24,1.84,1.74,1.36,10.96,0.73,-0.026,-0.148,0.278,0.789,11.81,0.052,0.39,0.37,102,25,12.35,1.13,0,7,1
Agriculture,Grande Entreprise,25,2.42,0.82,0.9,14.15,0.9,0.029,0.293,0.166,0.087,11.2,0.119,0.21,0.42,114,50,15.3,1.71,3,0,0
Commerce,PME,36,0.68,0.39,1.43,13.28,0.49,0.276,0.245,-0.134,0.715,11.44,0.41,0.7,0.59,56,29,8.88,2.38,0,1,1
